Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
</s>,<s>,487,488,0.99795082
<s>,Ya,52,488,0.106557377
maestro.,</s>,37,37,1
ma.,</s>,22,22,1
en,la,16,61,0.262295082
<s>,Que,16,488,0.032786885
<s>,"No,",15,488,0.030737705
<s>,"Jajaja,",15,488,0.030737705
a,la,14,72,0.194444444
<s>,"Claro,",14,488,0.028688525
en,el,13,61,0.213114754
<s>,Buenas,13,488,0.026639344
<s>,Si,11,488,0.022540984
<s>,Buenos,11,488,0.022540984
que,se,10,97,0.103092784
creo,que,10,13,0.769230769
Buenos,"días,",10,11,0.909090909
que,me,9,97,0.092783505
a,las,9,72,0.125
Buenas,"tardes,",9,13,0.692307692
"tardes,",maestro.,9,9,1
bien.,</s>,9,9,1
lo,que,8,31,0.258064516
<s>,"Ok,",8,488,0.016393443
Ale.,</s>,8,8,1
Que,"bien,",8,20,0.4
Ya,estoy,8,54,0.148148148
"bien,",ma.,8,17,0.470588235
<s>,"Hola,",7,488,0.014344262
<s>,"Vale,",7,488,0.014344262
en,su,7,61,0.114754098
"Claro,",maestro.,7,14,0.5
se,la,7,31,0.225806452
estoy,en,7,18,0.388888889
el,profe,6,59,0.101694915
y,el,6,60,0.1
<s>,Yo,6,488,0.012295082
va,a,6,8,0.75
de,las,6,74,0.081081081
profesor.,</s>,6,6,1
<s>,Como,6,488,0.012295082
"días,",maestro.,6,10,0.6
bien,</s>,6,23,0.260869565
<s>,Muy,6,488,0.012295082
de,la,5,74,0.067567568
voy,a,5,11,0.454545455
<s>,Gracias,5,488,0.010245902
<s>,Va,5,488,0.010245902
<s>,Entonces,5,488,0.010245902
<s>,Ok,5,488,0.010245902
<s>,"Si,",5,488,0.010245902
la,presentación,5,89,0.056179775
<s>,Se,5,488,0.010245902
<s>,"Gracias,",5,488,0.010245902
<s>,También,5,488,0.010245902
<s>,Estoy,5,488,0.010245902
Que,bien,5,20,0.25
Ale,</s>,5,10,0.5
la,carpeta,4,89,0.04494382
<s>,En,4,488,0.008196721
<s>,Pero,4,488,0.008196721
que,la,4,97,0.041237113
es,que,4,25,0.16
no,se,4,25,0.16
<s>,Y,4,488,0.008196721
muchas,gracias,4,10,0.4
<s>,Me,4,488,0.008196721
para,que,4,28,0.142857143
muchas,gracias.,4,10,0.4
gracias.,</s>,4,4,1
su,cubículo,4,17,0.235294118
Como,ha,4,9,0.444444444
ha,estado?,4,4,1
estado?,</s>,4,5,0.8
<s>,"Listo,",4,488,0.008196721
van?,</s>,4,4,1
<s>,¿Como,4,488,0.008196721
<s>,Pásenla,4,488,0.008196721
Ya,voy,4,54,0.074074074
que,bien,4,97,0.041237113
estamos,en,4,7,0.571428571
Ya,estamos,4,54,0.074074074
bien,ma,4,23,0.173913043
ma,</s>,4,10,0.4
<s>,Jajaja,4,488,0.008196721
<s>,Está,3,488,0.006147541
carpeta,de,3,5,0.6
que,el,3,97,0.030927835
puso,en,3,3,1
la,misma,3,89,0.033707865
Ya,me,3,54,0.055555556
en,un,3,61,0.049180328
Creo,que,3,3,1
que,lo,3,97,0.030927835
<s>,Te,3,488,0.006147541
<s>,Lo,3,488,0.006147541
las,mismas,3,40,0.075
son,los,3,9,0.333333333
<s>,Es,3,488,0.006147541
<s>,Ah,3,488,0.006147541
Emily,</s>,3,5,0.6
<s>,Quedo,3,488,0.006147541
<s>,Con,3,488,0.006147541
<s>,No,3,488,0.006147541
<s>,Aquí,3,488,0.006147541
"Ok,","profesor,",3,8,0.375
"profesor,",muchas,3,3,1
"días,",profesor.,3,10,0.3
<s>,"Disculpe,",3,488,0.006147541
las,10?,3,40,0.075
10?,</s>,3,3,1
voy,para,3,11,0.272727273
su,cubículo?,3,17,0.176470588
cubículo?,</s>,3,3,1
profe.,</s>,3,3,1
subí,la,3,6,0.5
Ya,le,3,54,0.055555556
le,subí,3,12,0.25
atento,a,3,3,1
a,sus,3,72,0.041666667
y,los,3,60,0.05
Ya,están,3,54,0.055555556
sin,problema,3,3,1
pero,creo,3,13,0.230769231
<s>,"Oh,",3,488,0.006147541
lo,puedo,3,31,0.096774194
ir,a,3,4,0.75
"Listo,",maestro.,3,4,0.75
<s>,Igual,3,488,0.006147541
que,ya,3,97,0.030927835
Buenas,"noches,",3,13,0.230769231
"noches,",maestro.,3,3,1
<s>,"Bien,",3,488,0.006147541
ya,estoy,3,25,0.12
gracias,</s>,3,11,0.272727273
fin,de,3,3,1
la,1,3,89,0.033707865
vamos,a,3,5,0.6
este,semestre,3,7,0.428571429
semestre,</s>,3,8,0.375
por,semestre,3,20,0.15
<s>,"Felicidades,",3,488,0.006147541
¿Como,van?,3,5,0.6
<s>,¿Qué,3,488,0.006147541
hotel.,</s>,3,3,1
Ya,ando,3,54,0.055555556
Estoy,en,3,5,0.6
<s>,Voy,3,488,0.006147541
También,te,3,5,0.6
llegue,a,3,3,1
increíble.,</s>,3,3,1
bien,que,3,23,0.130434783
Muy,"bien,",3,7,0.428571429
<s>,Ale,3,488,0.006147541
aterricé,</s>,3,3,1
muy,bien,3,8,0.375
a,Mexico,3,72,0.041666667
Está,en,2,3,0.666666667
<s>,Dale,2,488,0.004098361
onda,equipo?,2,3,0.666666667
equipo?,</s>,2,2,1
la,interfaz,2,89,0.02247191
hace,la,2,5,0.4
el,otro,2,59,0.033898305
corrimos,a,2,2,1
misma,hora,2,3,0.666666667
todos,los,2,2,1
<s>,Oh,2,488,0.004098361
a,poder,2,72,0.027777778
<s>,Le,2,488,0.004098361
ahorita,</s>,2,4,0.5
por,eso,2,20,0.1
puse,en,2,2,1
que,no,2,97,0.020618557
no,hay,2,25,0.08
y,yo,2,60,0.033333333
el,jueves,2,59,0.033898305
Gracias,Emily,2,6,0.333333333
Rolón,</s>,2,2,1
<s>,Según,2,488,0.004098361
se,genere,2,31,0.064516129
no?,</s>,2,2,1
que,entiendo,2,97,0.020618557
entiendo,es,2,2,1
el,pdf,2,59,0.033898305
a,ser,2,72,0.027777778
gracias,Rolon,2,11,0.181818182
Rolon,</s>,2,2,1
verifiquen,que,2,2,1
<s>,Saludos,2,488,0.004098361
Saludos,</s>,2,2,1
me,mando,2,19,0.105263158
mando,el,2,2,1
con,las,2,23,0.086956522
mismas,noticias,2,4,0.5
de,prueba,2,74,0.027027027
hasta,la,2,4,0.5
que,son,2,97,0.020618557
<s>,Oigan,2,488,0.004098361
Oigan,y,2,2,1
todas,las,2,2,1
3,de,2,6,0.333333333
*,3,2,2,1
es,un,2,25,0.08
y,ya,2,60,0.033333333
Va,gracias,2,6,0.333333333
gracias,Emily,2,11,0.181818182
Va,muchas,2,6,0.333333333
<s>,#,2,488,0.004098361
<s>,Creo,2,488,0.004098361
Muchas,gracias,2,4,0.5
<s>,Vamos,2,488,0.004098361
las,pruebas,2,40,0.05
las,10,2,40,0.05
mañana,no,2,6,0.333333333
se,va,2,31,0.064516129
la,evidencia,2,89,0.02247191
el,codigo,2,59,0.033898305
si,es,2,15,0.133333333
pero,ya,2,13,0.153846154
eso,ya,2,7,0.285714286
<s>,Porque,2,488,0.004098361
que,sea,2,97,0.020618557
para,hacer,2,28,0.071428571
