Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
mimi,</s>,<s>,77,77,1.0
</s>,<s>,Si,69,395,0.17468354430379746
<s>,Si,mimi,26,69,0.37681159420289856
Si,mimi,</s>,16,26,0.6153846153846154
</s>,<s>,Es,15,395,0.0379746835443038
</s>,<s>,Pero,13,395,0.03291139240506329
</s>,<s>,Pues,13,395,0.03291139240506329
</s>,<s>,Ya,12,395,0.030379746835443037
<s>,Es,que,12,15,0.8
bonita,</s>,<s>,12,12,1.0
Mily,</s>,<s>,11,11,1.0
Citlalli,</s>,<s>,11,11,1.0
</s>,<s>,Y,10,395,0.02531645569620253
</s>,<s>,No,10,395,0.02531645569620253
jajaja,</s>,<s>,9,9,1.0
</s>,<s>,Esta,9,395,0.02278481012658228
<s>,Esta,bien,9,9,1.0
💖,</s>,<s>,9,9,1.0
</s>,<s>,Holi,9,395,0.02278481012658228
</s>,<s>,Chi,9,395,0.02278481012658228
<s>,Chi,mimi,9,9,1.0
</s>,<s>,Porque,8,395,0.020253164556962026
bien,mimi,</s>,8,9,0.8888888888888888
Chi,mimi,</s>,8,9,0.8888888888888888
</s>,<s>,A,7,395,0.017721518987341773
</s>,<s>,Gachas,7,395,0.017721518987341773
</s>,<s>,Chicas,6,395,0.015189873417721518
</s>,<s>,Que,6,395,0.015189873417721518
<s>,Si,Citlalli,6,69,0.08695652173913043
</s>,<s>,Yo,6,395,0.015189873417721518
<s>,Si,no,6,69,0.08695652173913043
<s>,Si,bonita,6,69,0.08695652173913043
mimi?,</s>,<s>,6,6,1.0
</s>,<s>,Por,5,395,0.012658227848101266
pofavo,</s>,<s>,5,5,1.0
gracias,Mily,</s>,5,6,0.8333333333333334
</s>,<s>,Para,5,395,0.012658227848101266
Si,bonita,</s>,5,6,0.8333333333333334
Esta,bien,mimi,5,9,0.5555555555555556
<s>,Gachas,mimi,5,7,0.7142857142857143
</s>,<s>,Bueno,4,395,0.010126582278481013
</s>,<s>,Entonces,4,395,0.010126582278481013
pipipi,</s>,<s>,4,4,1.0
muchas,gracias,Mily,4,4,1.0
</s>,<s>,O,4,395,0.010126582278481013
ocupado,</s>,<s>,4,4,1.0
</s>,<s>,Ah,4,395,0.010126582278481013
es,que,no,4,12,0.3333333333333333
</s>,<s>,Holiiii,4,395,0.010126582278481013
mimi,💖,</s>,4,4,1.0
<s>,Holi,mimi,4,9,0.4444444444444444
Holi,mimi,</s>,4,4,1.0
</s>,<s>,Mimi,4,395,0.010126582278481013
</s>,<s>,Me,4,395,0.010126582278481013
Gachas,mimi,</s>,4,5,0.8
</s>,<s>,mimi,4,395,0.010126582278481013
<s>,mimi,</s>,4,4,1.0
<s>,Bueno,al,3,4,0.75
Bueno,al,menos,3,3,1.0
JAJAJA,</s>,<s>,3,3,1.0
</s>,<s>,es,3,395,0.007594936708860759
</s>,<s>,Sip,3,395,0.007594936708860759
datos,</s>,<s>,3,3,1.0
</s>,<s>,Creo,3,395,0.007594936708860759
en,la,escuela,3,13,0.23076923076923078
la,escuela,</s>,3,4,0.75
escuela,</s>,<s>,3,3,1.0
</s>,<s>,Gracias,3,395,0.007594936708860759
JAJAJAJA,</s>,<s>,3,3,1.0
</s>,<s>,pero,3,395,0.007594936708860759
</s>,<s>,Va,3,395,0.007594936708860759
si,</s>,<s>,3,3,1.0
