Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
</s>,<s>,Si,104,1592,0.06532663316582915
profesora,</s>,<s>,86,86,1.0
</s>,<s>,Ya,78,1592,0.048994974874371856
jaja,</s>,<s>,69,69,1.0
</s>,<s>,"Si,",56,1592,0.035175879396984924
</s>,<s>,No,51,1592,0.032035175879396985
<s>,Si,</s>,46,104,0.4423076923076923
Si,</s>,<s>,46,46,1.0
</s>,<s>,Que,44,1592,0.02763819095477387
</s>,<s>,Vale,37,1592,0.023241206030150754
</s>,<s>,Va,34,1592,0.02135678391959799
</s>,<s>,Y,33,1592,0.0207286432160804
no?,</s>,<s>,29,29,1.0
</s>,<s>,O,28,1592,0.017587939698492462
</s>,<s>,Es,27,1592,0.016959798994974875
</s>,<s>,Pero,27,1592,0.016959798994974875
</s>,<s>,A,23,1592,0.014447236180904523
bien,</s>,<s>,23,23,1.0
</s>,<s>,"Simon,",21,1592,0.013190954773869347
</s>,<s>,Ah,21,1592,0.013190954773869347
gracias,</s>,<s>,21,21,1.0
</s>,<s>,"No,",21,1592,0.013190954773869347
</s>,<s>,Ahorita,20,1592,0.01256281407035176
</s>,<s>,Yo,20,1592,0.01256281407035176
<s>,Va,</s>,19,34,0.5588235294117647
Va,</s>,<s>,19,19,1.0
profesora?,</s>,<s>,19,19,1.0
</s>,<s>,Gracias,18,1592,0.011306532663316583
</s>,<s>,gracias,18,1592,0.011306532663316583
</s>,<s>,Sales,18,1592,0.011306532663316583
<s>,Vale,"profesora,",18,37,0.4864864864864865
<s>,gracias,</s>,17,18,0.9444444444444444
<s>,Sales,</s>,17,18,0.9444444444444444
Sales,</s>,<s>,17,17,1.0
<s>,Vale,profesora,17,37,0.4594594594594595
</s>,<s>,El,16,1592,0.010050251256281407
</s>,<s>,Sale,16,1592,0.010050251256281407
<s>,Sale,</s>,16,16,1.0
Sale,</s>,<s>,16,16,1.0
</s>,<s>,Hola,15,1592,0.009422110552763818
</s>,<s>,En,15,1592,0.009422110552763818
