Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
</s>,<s>,Ya,52,487,0.10677618069815195
maestro.,</s>,<s>,37,37,1.0
ma.,</s>,<s>,22,22,1.0
</s>,<s>,Que,16,487,0.03285420944558522
</s>,<s>,"No,",15,487,0.030800821355236138
</s>,<s>,"Jajaja,",15,487,0.030800821355236138
</s>,<s>,"Claro,",14,487,0.028747433264887063
</s>,<s>,Buenas,13,487,0.026694045174537988
</s>,<s>,Si,11,487,0.022587268993839837
</s>,<s>,Buenos,11,487,0.022587268993839837
<s>,Buenos,"días,",10,11,0.9090909090909091
<s>,Buenas,"tardes,",9,13,0.6923076923076923
Buenas,"tardes,",maestro.,9,9,1.0
"tardes,",maestro.,</s>,9,9,1.0
bien.,</s>,<s>,9,9,1.0
</s>,<s>,"Ok,",8,487,0.01642710472279261
Ale.,</s>,<s>,8,8,1.0
<s>,Ya,estoy,8,52,0.15384615384615385
"bien,",ma.,</s>,8,8,1.0
</s>,<s>,"Hola,",7,487,0.014373716632443531
</s>,<s>,"Vale,",7,487,0.014373716632443531
<s>,"Claro,",maestro.,7,14,0.5
"Claro,",maestro.,</s>,7,7,1.0
<s>,Que,"bien,",7,16,0.4375
</s>,<s>,Yo,6,487,0.012320328542094456
profesor.,</s>,<s>,6,6,1.0
</s>,<s>,Como,6,487,0.012320328542094456
Buenos,"días,",maestro.,6,10,0.6
"días,",maestro.,</s>,6,6,1.0
bien,</s>,<s>,6,6,1.0
</s>,<s>,Muy,6,487,0.012320328542094456
</s>,<s>,Gracias,5,487,0.01026694045174538
</s>,<s>,Va,5,487,0.01026694045174538
</s>,<s>,Entonces,5,487,0.01026694045174538
</s>,<s>,Ok,5,487,0.01026694045174538
</s>,<s>,"Si,",5,487,0.01026694045174538
</s>,<s>,Se,5,487,0.01026694045174538
</s>,<s>,"Gracias,",5,487,0.01026694045174538
</s>,<s>,También,5,487,0.01026694045174538
</s>,<s>,Estoy,5,487,0.01026694045174538
Que,"bien,",ma.,5,8,0.625
Ale,</s>,<s>,5,5,1.0
en,la,carpeta,4,16,0.25
</s>,<s>,En,4,487,0.008213552361396304
</s>,<s>,Pero,4,487,0.008213552361396304
</s>,<s>,Y,4,487,0.008213552361396304
</s>,<s>,Me,4,487,0.008213552361396304
muchas,gracias.,</s>,4,4,1.0
gracias.,</s>,<s>,4,4,1.0
<s>,Como,ha,4,6,0.6666666666666666
Como,ha,estado?,4,4,1.0
estado?,</s>,<s>,4,4,1.0
</s>,<s>,"Listo,",4,487,0.008213552361396304
van?,</s>,<s>,4,4,1.0
</s>,<s>,¿Como,4,487,0.008213552361396304
Ya,estoy,en,4,8,0.5
estoy,en,el,4,7,0.5714285714285714
</s>,<s>,Pásenla,4,487,0.008213552361396304
<s>,Ya,voy,4,52,0.07692307692307693
<s>,Ya,estamos,4,52,0.07692307692307693
<s>,Que,bien,4,16,0.25
ma,</s>,<s>,4,4,1.0
</s>,<s>,Jajaja,4,487,0.008213552361396304
<s>,Ya,me,3,52,0.057692307692307696
</s>,<s>,Te,3,487,0.006160164271047228
</s>,<s>,Lo,3,487,0.006160164271047228
</s>,<s>,Es,3,487,0.006160164271047228
</s>,<s>,Ah,3,487,0.006160164271047228
Emily,</s>,<s>,3,3,1.0
</s>,<s>,Quedo,3,487,0.006160164271047228
</s>,<s>,Con,3,487,0.006160164271047228
</s>,<s>,No,3,487,0.006160164271047228
</s>,<s>,Aquí,3,487,0.006160164271047228
<s>,"Ok,","profesor,",3,8,0.375
"Ok,","profesor,",muchas,3,3,1.0
"profesor,",muchas,gracias.,3,3,1.0
Buenos,"días,",profesor.,3,10,0.3
"días,",profesor.,</s>,3,3,1.0
ha,estado?,</s>,3,4,0.75
</s>,<s>,"Disculpe,",3,487,0.006160164271047228
a,las,10?,3,9,0.3333333333333333
las,10?,</s>,3,3,1.0
10?,</s>,<s>,3,3,1.0
su,cubículo?,</s>,3,3,1.0
