Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
</s>,<s>,395,396,0.9974747474747475
mimi,</s>,77,98,0.7857142857142857
<s>,Si,69,396,0.17424242424242425
Si,mimi,26,69,0.37681159420289856
<s>,Es,15,396,0.03787878787878788
en,la,13,28,0.4642857142857143
<s>,Pero,13,396,0.03282828282828283
<s>,Pues,13,396,0.03282828282828283
que,no,13,96,0.13541666666666666
es,que,12,23,0.5217391304347826
<s>,Ya,12,396,0.030303030303030304
Es,que,12,15,0.8
bonita,</s>,12,13,0.9230769230769231
Mily,</s>,11,20,0.55
Citlalli,</s>,11,22,0.5
<s>,Y,10,396,0.025252525252525252
<s>,No,10,396,0.025252525252525252
jajaja,</s>,9,9,1.0
<s>,Esta,9,396,0.022727272727272728
Esta,bien,9,9,1.0
💖,</s>,9,9,1.0
<s>,Holi,9,396,0.022727272727272728
que,si,9,96,0.09375
bien,mimi,9,16,0.5625
<s>,Chi,9,396,0.022727272727272728
Chi,mimi,9,9,1.0
<s>,Porque,8,396,0.020202020202020204
<s>,A,7,396,0.017676767676767676
<s>,Gachas,7,396,0.017676767676767676
<s>,Chicas,6,396,0.015151515151515152
<s>,Que,6,396,0.015151515151515152
creo,que,6,7,0.8571428571428571
gracias,Mily,6,6,1.0
Si,Citlalli,6,69,0.08695652173913043
<s>,Yo,6,396,0.015151515151515152
Si,no,6,69,0.08695652173913043
Si,bonita,6,69,0.08695652173913043
mimi?,</s>,6,6,1.0
al,menos,5,10,0.5
lo,que,5,23,0.21739130434782608
<s>,Por,5,396,0.012626262626262626
pofavo,</s>,5,6,0.8333333333333334
en,el,5,28,0.17857142857142858
de,la,5,43,0.11627906976744186
ya,no,5,21,0.23809523809523808
<s>,Para,5,396,0.012626262626262626
Gachas,mimi,5,7,0.7142857142857143
para,la,5,21,0.23809523809523808
que,se,4,96,0.041666666666666664
<s>,Bueno,4,396,0.010101010101010102
de,nada,4,43,0.09302325581395349
<s>,Entonces,4,396,0.010101010101010102
pipipi,</s>,4,4,1.0
la,escuela,4,53,0.07547169811320754
muchas,gracias,4,4,1.0
<s>,O,4,396,0.010101010101010102
ocupado,</s>,4,4,1.0
<s>,Ah,4,396,0.010101010101010102
la,foto,4,53,0.07547169811320754
<s>,Holiiii,4,396,0.010101010101010102
de,mi,4,43,0.09302325581395349
mimi,💖,4,98,0.04081632653061224
Holi,mimi,4,9,0.4444444444444444
<s>,Mimi,4,396,0.010101010101010102
<s>,Me,4,396,0.010101010101010102
<s>,mimi,4,396,0.010101010101010102
Bueno,al,3,4,0.75
JAJAJA,</s>,3,3,1.0
puede,ser,3,7,0.42857142857142855
que,es,3,96,0.03125
<s>,es,3,396,0.007575757575757576
<s>,Sip,3,396,0.007575757575757576
a,la,3,24,0.125
datos,</s>,3,4,0.75
otra,vez,3,3,1.0
<s>,Creo,3,396,0.007575757575757576
iba,a,3,4,0.75
escuela,</s>,3,6,0.5
que,yo,3,96,0.03125
<s>,Gracias,3,396,0.007575757575757576
de,seguimiento,3,43,0.06976744186046512
JAJAJAJA,</s>,3,3,1.0
a,mi,3,24,0.125
ya,tengo,3,21,0.14285714285714285
<s>,pero,3,396,0.007575757575757576
esta,bien,3,9,0.3333333333333333
<s>,Va,3,396,0.007575757575757576
si,</s>,3,37,0.08108108108108109
Si,de,3,69,0.043478260869565216
<s>,Voy,3,396,0.007575757575757576
lo,más,3,23,0.13043478260869565
más,seguro,3,5,0.6
Que,bueno,3,6,0.5
para,el,3,21,0.14285714285714285
api,key,3,3,1.0
para,probar,3,21,0.14285714285714285
<s>,Solo,3,396,0.007575757575757576
que,ya,3,96,0.03125
A,ver,3,7,0.42857142857142855
Holiiii,</s>,3,4,0.75
bonita?,</s>,3,3,1.0
Bluetooth,</s>,3,3,1.0
la,noche,3,53,0.05660377358490566
si,mimi,3,37,0.08108108108108109
nada,mimi,3,7,0.42857142857142855
bien,bonita,3,16,0.1875
A,las,3,7,0.42857142857142855
No,mimi,3,10,0.3
no,</s>,3,44,0.06818181818181818
🫢,</s>,3,3,1.0
si,me,3,37,0.08108108108108109
gachas,</s>,3,3,1.0
jajajaj,</s>,2,2,1.0
<s>,La,2,396,0.005050505050505051
Si,Mily,2,69,0.028985507246376812
menos,ya,2,5,0.4
como,se,2,10,0.2
<s>,Ay,2,396,0.005050505050505051
<s>,También,2,396,0.005050505050505051
Si,mily,2,69,0.028985507246376812
<s>,si,2,396,0.005050505050505051
fue,el,2,5,0.4
que,hice,2,96,0.020833333333333332
hice,</s>,2,4,0.5
Sip,Citlalli,2,3,0.6666666666666666
🫰,</s>,2,2,1.0
de,los,2,43,0.046511627906976744
<s>,Ahorita,2,396,0.005050505050505051
con,el,2,13,0.15384615384615385
seguro,</s>,2,4,0.5
Pues,como,2,13,0.15384615384615385
1:30,</s>,2,2,1.0
<s>,De,2,396,0.005050505050505051
vez,</s>,2,5,0.4
Por,eso,2,5,0.4
<s>,que,2,396,0.005050505050505051
no,Mily,2,44,0.045454545454545456
<s>,Vale,2,396,0.005050505050505051
que,sería,2,96,0.020833333333333332
de,todas,2,43,0.046511627906976744
todas,maneras,2,3,0.6666666666666666
<s>,💖,2,396,0.005050505050505051
<s>,Así,2,396,0.005050505050505051
que,lo,2,96,0.020833333333333332
Gracias,Mily,2,3,0.6666666666666666
seguimiento,</s>,2,3,0.6666666666666666
Es,de,2,15,0.13333333333333333
Yo,tambien,2,6,0.3333333333333333
Pues,a,2,13,0.15384615384615385
dijeron,que,2,2,1.0
<s>,y,2,396,0.005050505050505051
de,TT,2,43,0.046511627906976744
TT,</s>,2,2,1.0
<s>,porque,2,396,0.005050505050505051
como,esta,2,10,0.2
esta,muy,2,9,0.2222222222222222
muy,ocupado,2,4,0.5
<s>,de,2,396,0.005050505050505051
algo?,</s>,2,2,1.0
el,back,2,27,0.07407407407407407
para,poder,2,21,0.09523809523809523
las,listas,2,12,0.16666666666666666
mandaron,la,2,2,1.0
tal,vez,2,3,0.6666666666666666
Y,ya,2,10,0.2
ya,vi,2,21,0.09523809523809523
hasta,eso,2,2,1.0
a,ver,2,24,0.08333333333333333
ver,que,2,7,0.2857142857142857
Holi,chicas,2,9,0.2222222222222222
la,cita,2,53,0.03773584905660377
🫶,</s>,2,2,1.0
<s>,En,2,396,0.005050505050505051
la,tarde,2,53,0.03773584905660377
<s>,Mily,2,396,0.005050505050505051
Ya,estamos,2,12,0.16666666666666666
Va,Citlalli,2,3,0.6666666666666666
del,modelo,2,5,0.4
modelo,</s>,2,2,1.0
<s>,Se,2,396,0.005050505050505051
no,te,2,44,0.045454545454545456
que,también,2,96,0.020833333333333332
también,ya,2,8,0.25
ya,me,2,21,0.09523809523809523
Creo,que,2,3,0.6666666666666666
jajajaja,</s>,2,2,1.0
<s>,Oye,2,396,0.005050505050505051
que,usabas,2,96,0.020833333333333332
key,</s>,2,3,0.6666666666666666
<s>,para,2,396,0.005050505050505051
probar,</s>,2,4,0.5
dice,que,2,3,0.6666666666666666
no,me,2,44,0.045454545454545456
seguro,es,2,4,0.5
la,información,2,53,0.03773584905660377
no,hay,2,44,0.045454545454545456
que,fui,2,96,0.020833333333333332
fui,no,2,3,0.6666666666666666
no,estaba,2,44,0.045454545454545456
estaba,</s>,2,3,0.6666666666666666
voy,a,2,3,0.6666666666666666
ver,si,2,7,0.2857142857142857
No,pues,2,10,0.2
😂,</s>,2,2,1.0
no,mimi,2,44,0.045454545454545456
están,bien,2,3,0.6666666666666666
❤‍🩹,</s>,2,2,1.0
bueno,es,2,7,0.2857142857142857
el,de,2,27,0.07407407407407407
no,se,2,44,0.045454545454545456
no,en,2,44,0.045454545454545456
noche,lo,2,3,0.6666666666666666
lo,checo,2,23,0.08695652173913043
en,tu,2,28,0.07142857142857142
Pues,si,2,13,0.15384615384615385
bueno,mimi,2,7,0.2857142857142857
<s>,Al,2,396,0.005050505050505051
rato,me,2,5,0.4
<s>,Bien,2,396,0.005050505050505051
Bien,mimi,2,2,1.0
Mimi,me,2,4,0.5
ahora,si,2,3,0.6666666666666666
pensé,que,2,2,1.0
la,casa,2,53,0.03773584905660377
casa,</s>,2,2,1.0
le,hablo,2,6,0.3333333333333333
